actor_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Nicolas Cage,https://en.wikipedia.org/wiki/Nicolas_Cage,1,Leaving Las Vegas,1,1,0,0,0,0,1,R,7.6,82,111,1995,3.6,7.7,MGM,32029928,Drama,32029928
Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss,0,Mr. Holland's Opus,0,0,0,0,0,0,0,PG,7.3,59,143,1995,3.5,6.8,Buena Vista,82569971,Musical,106269971
Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins,0,Nixon,0,0,0,0,0,0,0,R,7.1,66,192,1995,3.5,6.8,Buena Vista,13681765,Thriller,13681765
Sean Penn,https://en.wikipedia.org/wiki/Sean_Penn,0,Dead Man Walking,0,0,0,0,0,0,0,R,7.5,80,122,1995,3.8,8.2,Gramercy,39363635,Drama,39363635
Massimo Troisi,https://en.wikipedia.org/wiki/Massimo_Troisi,0,Il Postino,0,0,0,0,0,0,0,PG,7.7,81,108,1995,4.2,8,Miramax,21848932,Foreign,21848932
Geoffrey Rush,https://en.wikipedia.org/wiki/Geoffrey_Rush,1,Shine,1,1,0,1,1,1,0,PG-13,7.7,87,105,1996,3.9,8,Fine Line,35892330,Musical,35892330
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,0,Jerry Maguire,0,0,1,0,0,1,1,R,7.3,77,139,1996,3.4,7.6,Sony / Columbia,153952592,Comedy,273552592
Ralph Fiennes,https://en.wikipedia.org/wiki/Ralph_Fiennes,0,The English Patient,0,0,0,0,0,0,0,R,7.4,87,162,1996,3.6,7.6,Miramax,78676425,Romance,231976425
Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,0,The People vs. Larry Flynt,0,0,0,0,0,0,0,R,7.3,79,129,1996,3.5,7.7,Sony / Columbia,20300385,Comedy,20300385
Billy Bob Thornton,https://en.wikipedia.org/wiki/Billy_Bob_Thornton,0,Sling Blade,0,0,0,0,0,0,0,R,8,84,135,1996,3.9,8.3,Miramax,24444121,Drama,24444121
Jack Nicholson,https://en.wikipedia.org/wiki/Jack_Nicholson,1,As Good as It Gets,1,0,1,0,1,1,1,PG-13,7.7,67,139,1997,3.5,7.2,Sony / Columbia,148478011,Romance,314178011
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,0,Good Will Hunting,0,0,0,0,0,0,0,R,8.3,70,126,1997,3.9,8.1,Miramax,138433435,Drama,225933435
Robert Duvall,https://en.wikipedia.org/wiki/Robert_Duvall,0,The Apostle,0,0,0,0,0,1,0,PG-13,7.2,83,134,1997,3.6,8.1,October,19868354,Drama,19868354
Peter Fonda,https://en.wikipedia.org/wiki/Peter_Fonda,0,Ulee's Gold,0,1,0,0,0,0,0,R,7.1,77,113,1997,3.5,8.1,MGM,9161691,Drama,9161691
