movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Seabiscuit,https://en.wikipedia.org/wiki/Seabiscuit_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.3,72,140,2003,3.4,7.1,Universal,120277854,Sports,148336445
Million Dollar Baby,https://en.wikipedia.org/wiki/Million_Dollar_Baby,1,0,0,0,0,1,0,0,0,0,UA,8.1,86,132,2004,3.9,8.4,Warner Bros.,100492203,Sports,216763646
The Aviator,https://en.wikipedia.org/wiki/The_Aviator_(2004_film),0,0,0,1,1,0,0,1,0,0,UA,7.5,77,170,2004,3.5,7.8,Miramax,102610330,Period,213741459
Finding Neverland,https://en.wikipedia.org/wiki/Finding_Neverland_(film),0,0,0,0,0,0,0,0,0,0,PG,7.7,67,106,2004,3.8,7.5,Miramax,51680613,Period,116766556
Ray,https://en.wikipedia.org/wiki/Ray_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.7,73,212,2004,3.9,7.3,Universal,75331600,Musical,124731534
Sideways,https://en.wikipedia.org/wiki/Sideways,0,1,1,0,0,0,1,0,1,0,R,7.5,94,126,2004,3.5,8.5,Fox Searchlight,71503593,Comedy,109706931
Crash,https://en.wikipedia.org/wiki/Crash_(2004_film),1,0,1,0,0,0,0,0,0,1,A,7.8,69,112,2004,3.9,7.3,Lions Gate,54580300,Drama,98410061
Brokeback Mountain,https://en.wikipedia.org/wiki/Brokeback_Mountain,0,1,0,1,1,1,0,1,1,0,A,7.7,87,134,2005,3.5,8.2,Focus Features,83043761,Western,178062759
Capote,https://en.wikipedia.org/wiki/Capote_(film),0,0,0,0,0,0,0,0,0,0,R,7.4,88,114,2005,3.6,8.2,Sony Classics,28750530,Drama,49233161
"Good Night, and Good Luck","https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck",0,0,0,0,0,0,0,0,0,0,PG,7.5,80,93,2005,3.6,8.1,Warner Independent,31558003,Period,54641191
